null,id,text
4,1468221567,@dougiemcfly c'mon... say me something. it will cheer me up  say hi you lazards!
4,1467917110,@apleaforaaron i could really eat some cheese  i have a hankering for some austrian smoked cheese. YUM!
4,1468268257,"So you guys think ur so cool with ur bromances, well guess what we have homances! Thats right im in a homance with @StefanieErin "
0,2264495374,"Two Worlds Collide, one of my most favorite songs. But I don't have anyone to dedicate it to.  HAHAHAH."
0,2329171699,@djincredible @untouchableTQ all these hungry people...and no one thought of me ...  i'm a loser...that settles it lol
4,1467844980,"Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! "
4,1468102243,@BuzzEdition  nite you 
4,1467824094,having a long conversation with mom on phone 
4,1468193590,@brettbodine MMkay? R u the principal on southpark? 
4,1468322884,10 hours sleep. mmmmmm  town and hair dressers today!!
0,2328908127,@AravindJose never thought they were going to change the entrance marking scheme so fast 
0,2264562320,@kitpatlecter i can't stop sneezing. perhaps i have fallen under everyone's curse  booooo.
4,1468145957,tomorrow should be a great day! im actually going on a date! wow..this should be interesting! 
4,1468099730,"@h4nn4hhh yes i am, i don't use just becuase &quot;Cyrus&quot; is a popular surname "
0,2328968300,@theShowgram - Farrah  Who's pick was that? Thought of you guys right away...
4,1467917502,@pepstein Type it on the blog post and print it 
4,1468311332,@scenariogirl I know one dog friendly office  We are working there. 
0,2328998139,USPS finally decided to update the tracking number on my Red Faction order. It is in my home town! but wont go out until tomorrow 
4,1468325117,@ladydoc_1980 Hey welcome to twitter..! 
4,1467864201,@sytycda Could not agree more!The unison&amp; committment was incredible.Considering the pressure they r under made it all the more amazing 
0,2264708756,scared my dress isn't going to come in time  fingers crossed!
4,1468378902,@janyxu Sounds good. I'll put it on my long list of things to watch! 
0,2264527266,"rain, rain go away!!! excited for camp. but I don't wanna pack my stuff. headache.  excited for concert."
0,2329146025,@lillyluna She died?  I just read an article the other day saying she was going to marry the guy she's been with for like...ever...sad 
0,2329113313,@Theheartsong She  Passed away this morning 
4,1468133713,listening to songs  
4,1468338307,i got a blue dsi and i loves it 
4,1468072283,"@iphoneDEVgirl Just curious, why did you suddenly jump on Twitter and then become so active so fast? Greetings from Berlin! "
4,1468378636,"@ImBartSimpson pity bart simpson is 10, not 8. "
4,1468338478,"@JBagley Can't wait to get my mac so I can start doing that.  Nice one mate. Sounds like an awesome deal, alot of peeps talking about it."
4,1468209775,@souljaboytellem http://twitpic.com/2y506 - aww... mwah  xxxx
4,1467825641,@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about 
4,1468324397,Haha sweet dreams followers and friends ...  &lt;3 sour nightmares twinklers x)
4,1468115756,@Aaronshale cheers bruv! We've been delayed so spending a day in Houston. 2nd pint of the morning! 
4,1467917605,Watching Keith Olbermann(late late rerun) then it's on to The Daily Show which is having Michael J. Fox on as guest. My high school crush 
4,1468164116,It's a beautiful day... 
4,1468394306,kelli i hope dylan has his finger on.  and ilytoo
4,1468224075,@Artytypes No - I won't say what I was gonna say - morning 
0,2329001633,@ThingsSheSaid haha i totally would but fh austin didn't even call me back. i'm sure la would be less inclined 
4,1468364736,@vindiekins Posted a reply. 
4,1468309111,@musewire http://twitpic.com/1ynob - Perhaps they are going to mime the new album???  
4,1467989662,"goddamn you Danny, i started your video then realize its 11 fucking minutes, I WANNA GO TO BED!!! lol i do love his Video Diaries though! "
0,2328996040,Rest In Peace Farrah condolences to her family 
4,1467988851,im watching stomp the yard  mann i love that movie :]
0,2264531325,@Galiiit nope :/ i have tickets to nothing and i wont be buying tickets to anything for a long time  im just super curious about supports
0,2264638079,"guess what guys.....i am FREEEEEEEEEEEEEE. back home, my own home, my own bed but for only 2 days "
0,2264574246,"Happy Father's Day, dad. Wish I could tell him in person ...or at least by direct contact "
4,1468321750,@GingerVlogz Might go to Worthing some time this week. 
4,1468145454,"@BlegooPR It was a mere quote, that's all "
0,2329145998,RIP Farrah Fawcett  You will be missed by so many.
4,1467901759,"A je kakï¿½en rip od Trenutek resnice? Link, link, link "
0,2264576067,@sujokat I do want to go next year.  Will depend on how it falls with hols and all that stuff. Denver not the most exciting place to go 
0,2329093122,On my way to Depeche Mode gig. Tipping down with rain though here in Prague 
0,2264546641,my left eye is so itchy 
4,1468325346,@rt_winger I live by the Tesla dealership. Guys get their expensive Tesla cars and cruise University Avenue...I still get more attention! 
0,2264529187,Supposed to be going out for Sunday lunch but after Mike's pagan activity last night it might not happen 
4,1468148536,"@Kal_Penn Maaan, I'm going to miss Kutner. He was my favorite on the show. Keep being awesome, Kal! "
4,1468055655,"@bloodandmilk Neat!  Red Cross &amp; Red Crescent-Red Lion with Sun (that one was withdrawn)--Unity, I stand with them. "
4,1468337054,Forever Chasing.   Simply The Best atm .  
4,1468145813,@jorskwen omg i sooo cannot wait. once it's properly ready will take pix and upload k! 
4,1468101024,@cashless lol @ go away...booo doesnt mean it wasnt a date cuz it was her  *jokes*
4,1468336872,@DonnieWahlberg thanx for being part of the 14 messages on my phone that i woke up to started my day off right 
4,1468070706,@kellyleahy Not this many files 
0,2264609276,not feeling well today  think ive a throat infection 
0,2328961936,@justdaydreams hey dont mention the sauce!! I don't think there is any near me. 
4,1468407296,@Airrun It is fun thats how I get to meet all these entertainers 
4,1468099944,"@shemah hey Shem, I just watched the trailer of the Transformers 2 over at JPP, with Lucas and he was mesmerized! "
0,2329203475,i have nothing to do now  ugh
4,1468052828,@angiem93 well I will just keep on posting pics of my boy for everyone to see    http://twitpic.com/2y436
4,1468323998,@maxcelcat The matress is lovely. Now we just have to work out a way to bribe William into thinking of the back room as his bedroom. 
4,1468418623,"finally calm, and ready for bed  ...all positive thoughts for the rest of the day!"
4,1468180176,@cybathug .. @FerryCorsten has twitter 
0,2264535152,@buzzybel no img just blank 
4,1467901417,BOOM BOOM POW-oops 
4,1468102457,"@Kal_Penn Congratulation! But I will miss Kutner so much, I'm still in shock  and sad. And thank you for what you did on House! "
4,1467951595,@KittyBuffieKat  I havent but since you turned me on to it..I will  all of them! http://bit.ly/dRsN8
0,2329172005,@Novablue ah honey.   so sorry you're sick.  xoxo.   ~slg
4,1468070091,@artistwells Ty Very much 
4,1467952130,My Chumby blasting 80's tunes....good times.  http://www.matthartley.com/chumby.html
0,2264539667,"Am stuck at work again  day off on tuesday, that it also laundry day  yippie ;-) wish it waa bank holiday in August, going to Paris!!!"
4,1468021998,Just got back after an rough roadtrip to Amsterdam on the motorcycle. Had an excellent time there 
4,1467969760,@Kjonge GEFELICIDINGEST!!! 
0,2329059511,doesn't feel good! 
0,2264642090,@Jonny_Terry i havent spoken to you in ages! 
0,2329141353,my 1st grade boyfriend (who i actually found on facebook) used to call me farrah. i remember that being the ultimate compliment. 
0,2264671905,I'm really sorry because of the situation in Iran.   Good luck to you all!
4,1468252530,@DHughesy You can actually swear you know lol. there's even somewhere that counts your swears.much fun...www.cursebird.com 
4,1468337892,@millerwentworth Hola are you better today? good day! 
0,2264622406,@whysee orh. See ya  call me when ya're in sg
0,2329002652,@mmWine oh nooo..she is gone? 
4,1468394925,@brandon_wirtz how long and what degree of difficulty would it take for one to become top search result for &quot;china expert&quot;  heh.
4,1468365467,Tabitca is going to have a domesticated morning and bake and do stuff and then work all afternoon. I am feeling better now John is here 
4,1467843553,@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  
0,2264600915,arghh dont wanna go back to school  -  Happy birthday Andrew!
4,1467881552,@FoamingBBQ I had to read it last semester.  By &quot;read&quot; I mean skim for keywords and read online outlines.   Got an A too 
0,2329177836,i don't want to email any more CVs. i'm bored of emailing CVs. i feel crappy 
4,1468130102,excited about mi promisin future I need a spiritual cleanse. I'm prayin then its off to bed  night twittheads!
4,1467953350,will eat lunch  http://plurk.com/p/mztfi
4,1468349668,Yeap yeap ilove Penis and Vagina haha 
0,2329089318,@HOT957 who's  bill got paid at 8:15 a.m. this morning miss it....  please let me know... i listen at 12:15 p.m. but miss this morning...
4,1468163300,@damygeebo Carli's my friend 
0,2264631528,Dad having fever again.. Not looking too good 
4,1467880805,@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!
4,1468004185,"http://twitpic.com/2y3pg Not what I need for my current project, but THIS is ONE FUN &amp; FUNKY FONT! "
0,2328958331,my facebook got hacked and started sending viruses to all my friends so dont open weird links from me 
4,1468054890,@whiteguysdancin E. Only when my pain subsides enough for me to hurt myself and do it 
4,1468223172,goood morning world. I wonder what sort of adventure you have in store for me today? 
4,1468040032,Working papers - what the original order called Flying Rolls &amp; we call &quot;Aerodynamic Biscuits&quot;  - also available. http://bit.ly/BsS7b #wbc2
0,2329168356,http://twitpic.com/8dx00 - FUCK. my iphone backup is on my old laptop 
0,2329143015,"Damn... Farrah. Just saw Food Inc. last night, I wonder how many less people would get sick in the world if we could eat real foods. "
0,2329086839,I have nothing to do for 4 hours 
4,1468038693,@darylsws  Morning  What's up?
4,1468335395,@ginovalenciano YES!!  It was opening day at the stadium and man was it a glorious sea of red   3-0 Victory!
4,1467861472,@holytshirt Glad to read it! 
4,1468295574,@SarahSaner Good luck with that 
0,2328914430,wants go get twitter on her blackberry but doesn't know how!  x.
4,1468116156,Sleeeepin. Gotta rest up to finish painting 
4,1468178113,@JaneBelinda and my bro-in-law obviously 
4,1467898055,@JonathanRKnight Maybe Jordan could help you answer a few? Just an idea.. 
0,2264545309,"Reading: &quot;Convert Data, Files Online FREE: PDF, Word, Excel, Text, Images&quot;  http://plurk.com/p/12nvkx"
0,2328965183,@W_Hancock I am lost. Please help me find a good home. 
0,2329059070,"so sad farrah...your hair and your smile and your spirit will live on, angel. "
4,1468162244,@LaGiggles Have a beautiful y safe trip!!! Lots of hugs y hearts 
4,1468419622,@jackiemcghee Hmm. They want to capture ALL my internet activity. I hope they have a LOT of storage space. 
0,2264667288,@akikohayashi So it was the longest day of the year... Days getting shorter from now until December. 
4,1468252297,@mpesce they leave it on the street and string the hose up over the balcony 
4,1468055122,I like making friends with people who are building very cools things. One such person is @nathanchase who built http://flickchart.com 
4,1468378815,@gfalcone601 Naw. I wish I was in London.  Have a nice day.
4,1468352799,@markusreuter I would have used the word &quot;interesting&quot; ... I've come to the conclusion that I am just self- centered 
4,1468366458,back from 3-day island tour  more pics @ my multiply site
4,1467934438,I'm on brookes computer on piczo and twitter watching viva la bam. ?luv it? its 1:00 am and still in my skinny jeans. 
0,2329031467,@FunkaliciousSam i know! Loved it! Too bad i just finished work couldn't fully enjoy it  ! I'm good how are you? X
4,1467969564,@ChoChoMojo  Goodnight Miss Q  you take care  
4,1468086234,I swear to you the only reason I'm excited for my birthday is because of Erik. I'm so lucky to have him. SO freaking lucky 
0,2264503108,Kinda trying to work out the point of tweeting when no ones following me 
4,1468053029,@lchin jogging while talking about ruby... the new frontier of fitness for the ruby hacker?  seems cool anyway
4,1468351034,"@leetje The episode gave me an idea for a story. But really, it's my favourite because we get to see more of Josef. "
4,1468086781,"@LuvDaMall yes, bleeding eyes definitely means time for bed LOL night night to you "
4,1468118129,"Let me pre-empt the inevitable &quot;When a man is tired of GH he is tired of life&quot; comment by saying I'm just tired, in general "
0,2264538779,Right gunna settle down and do abit of workk! 
0,2264686068,off to do my english assignment. 
4,1468087721, &quot;I'm a freelance writer for Braille porn and a stunt double for a hand model for Palmolive dishwashing liquid.&quot; [from @ShinyHappyHead]
0,2264675279,sushi killed me  my stomach is dyingggggg
4,1468116887,@valorandvellum sadly after 10 years of marraige peeing with the door open is common place 
4,1467988239,@hiphopnonstoptv  That's a lot of people for sure!
4,1467843958,@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' 
4,1468071081,"@tsarnick I know, i apologized to her "
0,2264639041,majorly injured my elbow at work last night  so much painnn.
0,2264517065,"uuuhhh, my sister woke me up for fathers day... i feel like im off to school "
4,1468037420,nite twitterville  workout in the am  -ciao
0,2329175517,Home alone :/ im always such a loner 
0,2264611709,@mikareyes LOL aw mika you make me laugh!! so whered you go?! btw im sick  mums not lettin me to school tomoz!! another day with out me 
4,1468069238,@aniita_0517 Ani!! You finally discovered twitterworld!! hehe welcome!!!!   Oh this is so good! 
0,2329149327,How sad I just learned Farrah Fawcett had died  may she RIP
4,1468265662,@bulhaa libey thaa libigannaaaashe.... goooood miadhu ekkoh ves nidhaa... 
0,2329089188,I sad to hear about Farrah Fawcett 
4,1468308089,@mkaigwa ur a derailer! I've started listening to kwaito instead of doing serious studying...hmm! 
